pass,route_or_section,viewport,final_url,h1,text_chars,h_overflow,axe_serious_critical,axe_moderate_minor,tap_under24,tap_under44,text_under12px,screenshot
anon,/compare?team1=9ee2b996-99f6-446c-be20-8255ca75d8c8&team2=eb7976c7-fc7f-40e9-926d-d8bd1754003d,m390,/compare,Team Comparison,279,False,button-namex3,landmark-uniquex1,3,4,1,
anon,/insights,m390,/insights,,1286,False,,landmark-uniquex1;page-has-heading-onex1,3,4,8,screenshots/anon/insights--m390.jpg
anon,/help,m390,/help,Help & Getting Started,493,False,,heading-orderx1;landmark-uniquex1,3,4,1,
anon,/contact,m390,/contact,Contact Support,741,False,color-contrastx1;link-in-text-blockx1,heading-orderx1;landmark-uniquex1,5,8,1,screenshots/anon/contact--m390.jpg
anon,/auth,m390,/auth,,300,False,color-contrastx1,landmark-uniquex1;page-has-heading-onex1,3,7,1,
anon,/setup-profile,m390,/auth,,313,False,color-contrastx1,landmark-uniquex1;page-has-heading-onex1,3,7,1,
anon,/my-team,m390,/my-team,My Team,405,False,,heading-orderx1;landmark-uniquex1,3,4,1,screenshots/anon/my-team--m390.jpg
anon,/oauth/consent,m390,/oauth/consent,Authorization error,185,False,,landmark-main-is-top-levelx1;landmark-no-duplicate-mainx1;landmark-uniquex2,3,4,1,
anon,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,m390,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,,279,False,,landmark-main-is-top-levelx1;landmark-no-duplicate-mainx1;landmark-uniquex2;page-has-heading-onex1,3,4,2,
anon,/matches/00000000-0000-0000-0000-000000000000/live,m390,/matches/00000000-0000-0000-0000-000000000000/live,,225,False,,landmark-main-is-top-levelx1;landmark-no-duplicate-mainx1;landmark-uniquex2;page-has-heading-onex1,3,4,1,
anon,/timeslots,m390,/auth,,313,False,color-contrastx1,landmark-uniquex1;page-has-heading-onex1,3,7,1,
anon,/admin,m390,/auth,,313,False,color-contrastx1,landmark-uniquex1;page-has-heading-onex1,3,7,1,
anon,/admin/notifications,m390,/auth,,313,False,color-contrastx1,landmark-uniquex1;page-has-heading-onex1,3,7,1,
anon,/this-page-does-not-exist,m390,/this-page-does-not-exist,,240,False,,landmark-uniquex1;page-has-heading-onex1,3,4,1,
anon,/,m430,/,717Rec — Lancaster's Premier Cornhole League|717Rec — Lancaster's Premier Cornhole League,1609,False,,image-redundant-altx6;landmark-uniquex2,14,19,11,
anon,/teams,m430,/teams,Teams,264,False,button-namex3,heading-orderx1;landmark-uniquex1,6,10,1,
anon,/teams/3-amigos,m430,/teams/3-amigos,3 Amigos,358,False,color-contrastx2,landmark-uniquex1,4,5,4,
anon,/teams/burning-holes-taking-souls,m430,/teams/burning-holes-taking-souls,Burning Holes & Taking Souls,370,False,color-contrastx2,landmark-uniquex1,4,5,3,
anon,/schedule,m430,/schedule,,299,False,,landmark-uniquex1;page-has-heading-onex1,3,5,15,
anon,/stats,m430,/stats,,1397,False,,landmark-uniquex1;page-has-heading-onex1,3,36,34,
anon,/playoffs,m430,/playoffs,Playoffs,432,False,,heading-orderx1;landmark-uniquex1,3,5,1,
anon,/playoffs?bracket=22a7745e-0a8a-4682-ad0e-e5701c292927,m430,/playoffs?bracket=22a7745e-0a8a-4682-ad0e-e5701c292927,Playoffs|22a7745e-0a8a-4682-ad0e-e5701c292927,2029,False,image-altx48;scrollable-region-focusablex1,heading-orderx1;landmark-uniquex1,3,5,1,
anon,/history,m430,/history,Season History,3168,False,,heading-orderx1;landmark-uniquex1,3,13,83,
anon,/message-board,m430,/message-board,Message Board,351,False,,heading-orderx1;landmark-uniquex1,3,5,1,
anon,/compare,m430,/compare,Team Comparison,279,False,button-namex3,landmark-uniquex1,3,4,1,
anon,/compare?team1=9ee2b996-99f6-446c-be20-8255ca75d8c8&team2=eb7976c7-fc7f-40e9-926d-d8bd1754003d,m430,/compare,Team Comparison,279,False,button-namex3,landmark-uniquex1,3,4,1,
anon,/insights,m430,/insights,,1286,False,,landmark-uniquex1;page-has-heading-onex1,3,4,8,
anon,/help,m430,/help,Help & Getting Started,493,False,,heading-orderx1;landmark-uniquex1,3,4,1,
anon,/contact,m430,/contact,Contact Support,741,False,color-contrastx1;link-in-text-blockx1,heading-orderx1;landmark-uniquex1,5,8,1,
anon,/auth,m430,/auth,,300,False,color-contrastx1,landmark-uniquex1;page-has-heading-onex1,3,7,1,
anon,/setup-profile,m430,/auth,,313,False,color-contrastx1,landmark-uniquex1;page-has-heading-onex1,3,7,1,
anon,/my-team,m430,/my-team,My Team,405,False,,heading-orderx1;landmark-uniquex1,3,4,1,
anon,/oauth/consent,m430,/oauth/consent,Authorization error,185,False,,landmark-main-is-top-levelx1;landmark-no-duplicate-mainx1;landmark-uniquex2,3,4,1,
anon,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,m430,/matches/365c010e-b6de-46f2-b40d-f8f692138a64/live,,279,False,,landmark-main-is-top-levelx1;landmark-no-duplicate-mainx1;landmark-uniquex2;page-has-heading-onex1,3,4,2,
anon,/matches/00000000-0000-0000-0000-000000000000/live,m430,/matches/00000000-0000-0000-0000-000000000000/live,,225,False,,landmark-main-is-top-levelx1;landmark-no-duplicate-mainx1;landmark-uniquex2;page-has-heading-onex1,3,4,1,
anon,/timeslots,m430,/auth,,313,False,color-contrastx1,landmark-uniquex1;page-has-heading-onex1,3,7,1,
anon,/admin,m430,/auth,,313,False,color-contrastx1,landmark-uniquex1;page-has-heading-onex1,3,7,1,
anon,/admin/notifications,m430,/auth,,313,False,color-contrastx1,landmark-uniquex1;page-has-heading-onex1,3,7,1,
anon,/this-page-does-not-exist,m430,/this-page-does-not-exist,,240,False,,landmark-uniquex1;page-has-heading-onex1,3,4,1,
